Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
1/3/09 9:56,Product1,1200,Visa,Kara,Chicago                     ,IL,United States,12/31/08 16:26,1/16/09 13:43,41.85,-87.65
1/16/09 17:41,Product1,1200,Visa,Orsi,Rayford                     ,TX,United States,1/16/09 17:01,1/16/09 17:56,30.07972,-95.41694
1/5/09 5:33,Product1,1200,Visa,Ben,Escondido                   ,CA,United States,1/5/09 3:19,1/17/09 0:35,33.11917,-117.08556
1/2/09 0:50,Product1,1200,Visa,Sam,Tesvikiye,Istanbul,Turkey,1/2/09 0:10,1/17/09 1:57,40.6166667,29.0666667
1/13/09 1:51,Product1,1200,Visa,Filip and Teresa,Centurion,Gauteng,South Africa,1/12/09 1:40,1/17/09 2:23,-25.8744444,28.1705556
1/15/09 10:24,Product1,1200,Visa,Grace ,York,England,United Kingdom,1/13/09 12:30,1/17/09 4:42,53.9666667,-1.0833333
1/11/09 8:59,Product1,1200,Visa,Chelsey ,Ashburn                     ,VA,United States,11/9/08 5:53,1/17/09 8:54,39.04361,-77.48778
1/15/09 15:56,Product1,1200,Amex,Charis,Los Angeles                 ,CA,United States,11/11/05 11:49,1/17/09 10:54,34.05222,-118.24278
1/1/09 12:19,Product1,1200,Visa,Marlene,Edgewood                    ,WA,United States,1/16/06 14:45,1/17/09 11:38,47.25028,-122.2925
1/6/09 14:03,Product1,1200,Visa,Fie,New York                    ,NY,United States,5/1/08 8:26,1/17/09 11:44,40.71417,-74.00639
1/9/09 15:32,Product1,1200,Diners,Nicole ,Basingstoke,England,United Kingdom,1/7/09 12:31,1/17/09 12:03,51.2666667,-1.0833333
1/17/09 12:59,Product1,1200,Diners,Linda,Den Haag,Zuid-Holland,Netherlands,10/29/08 13:09,1/17/09 13:07,52.0833333,4.3
1/12/09 12:37,Product1,1200,Visa,Janet,Marietta                    ,GA,United States,9/13/07 14:20,1/17/09 16:17,33.9525,-84.55
1/4/09 7:43,Product1,1200,Mastercard,Jamie,Houston                     ,TX,United States,1/4/09 6:51,1/17/09 17:31,29.76306,-95.36306
1/17/09 16:22,Product1,1200,Visa,Chad,West Orange                 ,NJ,United States,1/17/09 15:22,1/17/09 18:42,40.79861,-74.23944
1/1/09 3:51,Product1,1200,Mastercard,sunny,Amsterdam,Noord-Holland,Netherlands,9/14/05 22:53,1/17/09 22:34,52.35,4.9166667
1/18/09 5:27,Product1,1200,Visa,Anna,Downey                      ,CA,United States,1/18/09 4:28,1/18/09 4:42,33.94,-118.13167
1/18/09 5:15,Product1,1200,Diners,Roger,Urlingford,Kilkenny,Ireland,1/18/09 4:44,1/18/09 4:44,52.7205556,-7.5825
1/1/09 1:51,Product1,1200,Mastercard,Si,Holte,Kobenhavn,Denmark,12/14/05 15:46,1/18/09 4:44,55.8166667,12.4666667
1/18/09 6:30,Product1,1200,Visa,Sherri,Freienbach,Schwyz,Switzerland,6/22/08 14:10,1/18/09 6:21,47.2,8.75
1/11/09 10:51,Product1,1200,Mastercard,Katherine,Hofheim am Taunus,Hessen,Germany,12/6/08 1:34,1/18/09 7:17,50.0833333,8.45
1/4/09 17:02,Product1,1200,Mastercard,Clare,Lafayette                   ,CA,United States,12/31/05 0:55,1/18/09 8:43,37.88583,-122.11694
1/17/09 1:23,Product1,1200,Amex,Campbell,Mushrif,,Kuwait,1/16/09 14:26,1/18/09 9:08,29.2891667,48.05
1/18/09 2:16,Product1,1200,Visa,Ruth,Nashville                   ,AR,United States,1/16/09 19:32,1/18/09 9:13,33.94556,-93.84694
